AccVers;Species;ProtAnnotation;GeneAnnotation;GeneId;Location;ProtDef;GeneDef;TreeStatus;TreeAnnotation;RNAId;aBSRELStatus
XP_042544158.1;Dipodomys spectabilis;TRIM5;TRIM5;122114953;NW_024870680.1;tripartite motif-containing protein 5-like isoform X1 [Dipodomys spectabilis];LOC122114953 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_042544162.1;Dipodomys spectabilis;TRIM5;TRIM5;122114953;NW_024870680.1;tripartite motif-containing protein 5-like isoform X2 [Dipodomys spectabilis];LOC122114953 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_042544221.1;Dipodomys spectabilis;TRIM6;TRIM6;122114994;NW_024870680.1;tripartite motif-containing protein 6-like isoform X2 [Dipodomys spectabilis];LOC122114994 tripartite motif-containing protein 6-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_042544213.1;Dipodomys spectabilis;TRIM6;TRIM6;122114994;NW_024870680.1;tripartite motif-containing protein 6-like isoform X1 [Dipodomys spectabilis];LOC122114994 tripartite motif-containing protein 6-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_012863887.1;Echinops telfairi;TRIM34;TRIM34;101644545;NW_022103939.1;LOW QUALITY PROTEIN: tripartite motif-containing protein 34 [Echinops telfairi];LOC101644545 tripartite motif-containing protein 34;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_004717152.1;Echinops telfairi;TRIM5;TRIM5;101662635;NW_022103939.1;tripartite motif-containing protein 5 isoform X2 [Echinops telfairi];LOC101662635 tripartite motif-containing protein 5;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_045146486.1;Echinops telfairi;TRIM5;TRIM5;101662635;NW_022103939.1;tripartite motif-containing protein 5 isoform X1 [Echinops telfairi];LOC101662635 tripartite motif-containing protein 5;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_012863886.1;Echinops telfairi;TRIM6;TRIM6;105979888;NW_022103939.1;tripartite motif-containing protein 6 [Echinops telfairi];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_006885712.1;Elephantulus edwardii;TRIM6;TRIM6;102870108;NW_006399794.1;PREDICTED: tripartite motif-containing protein 6-like [Elephantulus edwardii];TRIM6 tripartite motif containing 6;INCLUDED;TRIM6;XM_006885650.1;INCLUDED
XP_022377836.1;Enhydra lutris kenyoni;TRIM22;TRIM22;111159592;NW_019154152.1;E3 ubiquitin-protein ligase TRIM22 isoform X1 [Enhydra lutris kenyoni];LOC111159592 tripartite motif containing 22;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_022377838.1;Enhydra lutris kenyoni;TRIM22;TRIM22;111159592;NW_019154152.1;E3 ubiquitin-protein ligase TRIM22 isoform X2 [Enhydra lutris kenyoni];LOC111159592 tripartite motif containing 22;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_022377839.1;Enhydra lutris kenyoni;TRIM34;TRIM34;111159593;NW_019154152.1;tripartite motif-containing protein 34-like [Enhydra lutris kenyoni];LOC111159593 tripartite motif-containing protein 34-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_022377841.1;Enhydra lutris kenyoni;TRIM6;TRIM6;111159594;NW_019154152.1;tripartite motif-containing protein 6 [Enhydra lutris kenyoni];LOC111159594 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_027993440.1;Eptesicus fuscus;TRIM22;TRIM22;103303439;NW_007370947.1;E3 ubiquitin-protein ligase TRIM22-like isoform X1 [Eptesicus fuscus];LOC103303439 E3 ubiquitin-protein ligase TRIM22-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_027993442.1;Eptesicus fuscus;TRIM22;TRIM22;103303469;NW_007370947.1;LOW QUALITY PROTEIN: E3 ubiquitin-protein ligase TRIM22-like [Eptesicus fuscus];LOC103303469 E3 ubiquitin-protein ligase TRIM22-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_008158664.1;Eptesicus fuscus;TRIM22;TRIM22;103303442;NW_007370947.1;E3 ubiquitin-protein ligase TRIM22-like isoform X2 [Eptesicus fuscus];LOC103303442 E3 ubiquitin-protein ligase TRIM22-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_008158665.1;Eptesicus fuscus;TRIM22;TRIM22;103303442;NW_007370947.1;E3 ubiquitin-protein ligase TRIM22-like isoform X1 [Eptesicus fuscus];LOC103303442 E3 ubiquitin-protein ligase TRIM22-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_008158661.1;Eptesicus fuscus;TRIM34;TRIM34;103303440;NW_007370947.1;tripartite motif-containing protein 34-like [Eptesicus fuscus];LOC103303440 tripartite motif-containing protein 34-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_008158694.1;Eptesicus fuscus;TRIM5;TRIM5;103303470;NW_007370947.1;tripartite motif-containing protein 5-like [Eptesicus fuscus];LOC103303470 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_008158659.2;Eptesicus fuscus;TRIM5;TRIM5;103303437;NW_007370947.1;tripartite motif-containing protein 5-like isoform X2 [Eptesicus fuscus];LOC103303437 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_027993434.1;Eptesicus fuscus;TRIM5;TRIM5;103303437;NW_007370947.1;tripartite motif-containing protein 5-like isoform X3 [Eptesicus fuscus];LOC103303437 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_027993427.1;Eptesicus fuscus;TRIM5;TRIM5;103303437;NW_007370947.1;tripartite motif-containing protein 5-like isoform X1 [Eptesicus fuscus];LOC103303437 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_027993435.1;Eptesicus fuscus;TRIM5;TRIM5;103303437;NW_007370947.1;tripartite motif-containing protein 5-like isoform X4 [Eptesicus fuscus];LOC103303437 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_008158663.1;Eptesicus fuscus;TRIM6;TRIM6;103303441;NW_007370947.1;tripartite motif-containing protein 6 [Eptesicus fuscus];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_014695136.1;Equus asinus;TRIM22;TRIM22;106830223;NC_052196.1;E3 ubiquitin-protein ligase TRIM22-like [Equus asinus];LOC106830223 E3 ubiquitin-protein ligase TRIM22-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_014695137.2;Equus asinus;TRIM22;TRIM22;106830224;NC_052196.1;E3 ubiquitin-protein ligase TRIM22-like [Equus asinus];LOC106830224 E3 ubiquitin-protein ligase TRIM22-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_014695135.2;Equus asinus;TRIM22;TRIM22;106830222;NC_052196.1;E3 ubiquitin-protein ligase TRIM22-like [Equus asinus];LOC106830222 E3 ubiquitin-protein ligase TRIM22-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_014695143.2;Equus asinus;TRIM22;TRIM22;106830227;NC_052196.1;LOW QUALITY PROTEIN: E3 ubiquitin-protein ligase TRIM22-like [Equus asinus];LOC106830227 E3 ubiquitin-protein ligase TRIM22-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_014695141.2;Equus asinus;TRIM34;TRIM34;106830226;NC_052196.1;tripartite motif-containing protein 34-like isoform X1 [Equus asinus];LOC106830226 tripartite motif-containing protein 34-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_044609215.1;Equus asinus;TRIM34;TRIM34;106830226;NC_052196.1;tripartite motif-containing protein 34-like isoform X2 [Equus asinus];LOC106830226 tripartite motif-containing protein 34-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_044609216.1;Equus asinus;TRIM5;TRIM5;106830229;NC_052196.1;tripartite motif-containing protein 5-like isoform X1 [Equus asinus];LOC106830229 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_044609218.1;Equus asinus;TRIM5;TRIM5;106830229;NC_052196.1;tripartite motif-containing protein 5-like isoform X3 [Equus asinus];LOC106830229 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_044609217.1;Equus asinus;TRIM5;TRIM5;106830229;NC_052196.1;tripartite motif-containing protein 5-like isoform X2 [Equus asinus];LOC106830229 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_014695130.2;Equus asinus;TRIM5;TRIM5;106830220;NC_052196.1;tripartite motif-containing protein 5-like isoform X2 [Equus asinus];LOC106830220 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_014695120.2;Equus asinus;TRIM5;TRIM5;106830220;NC_052196.1;tripartite motif-containing protein 5-like isoform X1 [Equus asinus];LOC106830220 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_044609219.1;Equus asinus;TRIM5;TRIM5;106830229;NC_052196.1;tripartite motif-containing protein 5-like isoform X4 [Equus asinus];LOC106830229 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_014695140.1;Equus asinus;TRIM6;TRIM6;106830225;NC_052196.1;LOW QUALITY PROTEIN: tripartite motif-containing protein 6 [Equus asinus];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_005612168.1;Equus caballus;TRIM22;TRIM22;100069506;NC_009150.3;E3 ubiquitin-protein ligase TRIM22 [Equus caballus];TRIM22 tripartite motif containing 22;INCLUDED;TRIM22;XM_005612111.3;INCLUDED
XP_023501637.1;Equus caballus;TRIM22;TRIM22;100054490;NC_009150.3;E3 ubiquitin-protein ligase TRIM22 isoform X3 [Equus caballus];LOC100054490 E3 ubiquitin-protein ligase TRIM22;REMOVED|Other transcript was selected;TRIM22;;REMOVED|Other transcript was selected
XP_023501638.1;Equus caballus;TRIM22;TRIM22;100054490;NC_009150.3;E3 ubiquitin-protein ligase TRIM22 isoform X4 [Equus caballus];LOC100054490 E3 ubiquitin-protein ligase TRIM22;REMOVED|Other transcript was selected;TRIM22;;REMOVED|Other transcript was selected
XP_023501636.1;Equus caballus;TRIM22;TRIM22;100054490;NC_009150.3;E3 ubiquitin-protein ligase TRIM22 isoform X2 [Equus caballus];LOC100054490 E3 ubiquitin-protein ligase TRIM22;REMOVED|Other transcript was selected;TRIM22;;REMOVED|Other transcript was selected
XP_023501633.1;Equus caballus;TRIM22;TRIM22;100054490;NC_009150.3;E3 ubiquitin-protein ligase TRIM22 isoform X1 [Equus caballus];LOC100054490 E3 ubiquitin-protein ligase TRIM22;INCLUDED;TRIM22;XM_023645865.1;INCLUDED
XP_001504501.2;Equus caballus;TRIM22;TRIM5;100054534;NC_009150.3;E3 ubiquitin-protein ligase TRIM22 isoform X1 [Equus caballus];LOC100054534 tripartite motif-containing protein 5;INCLUDED;TRIM5;XM_001504451.5;INCLUDED
NP_001192122.1;Equus caballus;TRIM34;TRIM34;100568304;NC_009150.3;tripartite motif-containing protein 34 [Equus caballus];TRIM34 tripartite motif containing 34;INCLUDED;TRIM34;NM_001205193.1;INCLUDED
XP_014597163.1;Equus caballus;TRIM5;TRIM5;100069440;NC_009150.3;LOW QUALITY PROTEIN: tripartite motif-containing protein 5-like [Equus caballus];LOC100069440 tripartite motif-containing protein 5-like;INCLUDED;TRIM5;XM_014741677.2;REMOVED|Premature stop codon
XP_023501631.1;Equus caballus;TRIM5;TRIM5;100054534;NC_009150.3;tripartite motif-containing protein 5 isoform X2 [Equus caballus];LOC100054534 tripartite motif-containing protein 5;REMOVED|Other transcript was selected;TRIM5;;REMOVED|Other transcript was selected
XP_005612166.1;Equus caballus;TRIM5;TRIM5;102149883;NC_009150.3;tripartite motif-containing protein 5 [Equus caballus];LOC102149883 tripartite motif-containing protein 5;INCLUDED;TRIM5;XM_005612109.3;INCLUDED
NP_001192121.1;Equus caballus;TRIM6;TRIM6;100568303;NC_009150.3;tripartite motif-containing protein 6 [Equus caballus];TRIM6 tripartite motif containing 6;INCLUDED;TRIM6;NM_001205192.1;INCLUDED
XP_008522591.1;Equus przewalskii;TRIM22;TRIM22;103553684;NW_007673055.1;PREDICTED: E3 ubiquitin-protein ligase TRIM22-like [Equus przewalskii];LOC103553684 E3 ubiquitin-protein ligase TRIM22-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_008522569.1;Equus przewalskii;TRIM22;TRIM5;103553663;NW_007673055.1;PREDICTED: E3 ubiquitin-protein ligase TRIM22-like isoform X2 [Equus przewalskii];LOC103553663 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_008522532.1;Equus przewalskii;TRIM22;TRIM5;103553663;NW_007673055.1;PREDICTED: E3 ubiquitin-protein ligase TRIM22-like isoform X1 [Equus przewalskii];LOC103553663 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_008522520.1;Equus przewalskii;TRIM34;TRIM34;103553637;NW_007673055.1;PREDICTED: tripartite motif-containing protein 34-like isoform X4 [Equus przewalskii];LOC103553637 tripartite motif-containing protein 34-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_008523632.1;Equus przewalskii;TRIM5;TRIM5;103554374;NW_007673055.1;PREDICTED: LOW QUALITY PROTEIN: tripartite motif-containing protein 5-like [Equus przewalskii];LOC103554374 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_008522579.1;Equus przewalskii;TRIM5;TRIM5;103553663;NW_007673055.1;PREDICTED: tripartite motif-containing protein 5-like isoform X3 [Equus przewalskii];LOC103553663 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_008522442.1;Equus przewalskii;TRIM6;TRIM6;103553586;NW_007673055.1;PREDICTED: tripartite motif-containing protein 6 isoform X2 [Equus przewalskii];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_007533505.1;Erinaceus europaeus;TRIM5;TRIM5;103122823;NW_006804577.1;PREDICTED: tripartite motif-containing protein 5-like [Erinaceus europaeus];LOC103122823 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_016048196.1;Erinaceus europaeus;TRIM5;TRIM5;103122889;NW_006804577.1;PREDICTED: tripartite motif-containing protein 5 [Erinaceus europaeus];LOC103122889 tripartite motif-containing protein 5;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_016048195.1;Erinaceus europaeus;TRIM6;TRIM6;107523085;NW_006804577.1;PREDICTED: tripartite motif-containing protein 6 [Erinaceus europaeus];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_016045695.1;Erinaceus europaeus;TRIM6;TRIM6;107522781;NW_006804266.1;PREDICTED: tripartite motif-containing protein 6-like [Erinaceus europaeus];LOC107522781 tripartite motif-containing protein 6-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_027971867.1;Eumetopias jubatus;TRIM22;TRIM22;114218793;NW_020998682.1;E3 ubiquitin-protein ligase TRIM22 [Eumetopias jubatus];TRIM22 tripartite motif containing 22;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_027971868.1;Eumetopias jubatus;TRIM34;TRIM34;114218794;NW_020998682.1;tripartite motif-containing protein 34-like [Eumetopias jubatus];LOC114218794 tripartite motif-containing protein 34-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_027971764.1;Eumetopias jubatus;TRIM6;TRIM6;114218724;NW_020998682.1;tripartite motif-containing protein 6 isoform X2 [Eumetopias jubatus];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_027971762.1;Eumetopias jubatus;TRIM6;TRIM6;114218724;NW_020998682.1;tripartite motif-containing protein 6 isoform X1 [Eumetopias jubatus];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_019667490.2;Felis catus;TRIM22;TRIM22;101082007;NC_058377.1;LOW QUALITY PROTEIN: E3 ubiquitin-protein ligase TRIM22 [Felis catus];LOC101082007 E3 ubiquitin-protein ligase TRIM22;INCLUDED;TRIM22;XM_019811931.2;REMOVED|Premature stop codon
XP_044893956.1;Felis catus;TRIM5;TRIM5;100302544;NC_058377.1;tripartite motif-containing protein 5 isoform X1 [Felis catus];TRIM5 tripartite motif containing 5;REMOVED|Too big (>600aa);;;REMOVED|Too big (>600aa)
XP_044893960.1;Felis catus;TRIM5;TRIM5;100302544;NC_058377.1;tripartite motif-containing protein 5 isoform X4 [Felis catus];TRIM5 tripartite motif containing 5;INCLUDED;TRIM5;XM_045038025.1;INCLUDED
NP_001157131.1;Felis catus;TRIM5;TRIM5;100302544;NC_058377.1;tripartite motif-containing protein 5 [Felis catus];TRIM5 tripartite motif containing 5;REMOVED|Other transcript was selected;;;REMOVED|Other transcript was selected
XP_006937094.1;Felis catus;TRIM5;TRIM5;100302544;NC_058377.1;tripartite motif-containing protein 5 isoform X2 [Felis catus];TRIM5 tripartite motif containing 5;REMOVED|Too big (>600aa);;;REMOVED|Too big (>600aa)
XP_023094675.1;Felis catus;TRIM5;TRIM5;100302544;NC_058377.1;tripartite motif-containing protein 5 isoform X5 [Felis catus];TRIM5 tripartite motif containing 5;REMOVED|Other transcript was selected;TRIM5;;REMOVED|Other transcript was selected
XP_044894766.1;Felis catus;TRIM6;TRIM6;101094788;NC_058377.1;tripartite motif-containing protein 6 isoform X2 [Felis catus];TRIM6 tripartite motif containing 6;REMOVED|Other transcript was selected;TRIM6;;REMOVED|Other transcript was selected
XP_003992918.2;Felis catus;TRIM6;TRIM6;101094788;NC_058377.1;tripartite motif-containing protein 6 isoform X1 [Felis catus];TRIM6 tripartite motif containing 6;INCLUDED;TRIM6;XM_003992869.5;INCLUDED
XP_010633702.1;Fukomys damarensis;TRIM34;TRIM34;104869977;NW_022900928.1;tripartite motif-containing protein 34 isoform X2 [Fukomys damarensis];LOC104869977 tripartite motif-containing protein 34;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_010633684.1;Fukomys damarensis;TRIM34;TRIM34;104869977;NW_022900928.1;tripartite motif-containing protein 34 isoform X1 [Fukomys damarensis];LOC104869977 tripartite motif-containing protein 34;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_033620076.1;Fukomys damarensis;TRIM34;TRIM34;104869977;NW_022900928.1;tripartite motif-containing protein 34 isoform X4 [Fukomys damarensis];LOC104869977 tripartite motif-containing protein 34;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_010633709.1;Fukomys damarensis;TRIM34;TRIM34;104869977;NW_022900928.1;tripartite motif-containing protein 34 isoform X3 [Fukomys damarensis];LOC104869977 tripartite motif-containing protein 34;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_010633730.2;Fukomys damarensis;TRIM5;TRIM5;104870033;NW_022900928.1;tripartite motif-containing protein 5 [Fukomys damarensis];LOC104870033 tripartite motif-containing protein 5;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_033619814.1;Fukomys damarensis;UNCHAR;UNCHAR;104870026;NW_022900928.1;uncharacterized protein LOC104870026 [Fukomys damarensis];LOC104870026 uncharacterized LOC104870026;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_008561950.1;Galeopterus variegatus;TRIM22;TRIM22;103582038;NW_007740817.1;PREDICTED: E3 ubiquitin-protein ligase TRIM22-like, partial [Galeopterus variegatus];LOC103582038 E3 ubiquitin-protein ligase TRIM22-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_008561262.1;Galeopterus variegatus;TRIM22;TRIM22;103581137;NW_007738536.1;PREDICTED: LOW QUALITY PROTEIN: E3 ubiquitin-protein ligase TRIM22-like, partial [Galeopterus variegatus];LOC103581137 E3 ubiquitin-protein ligase TRIM22-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_008561263.1;Galeopterus variegatus;TRIM5;TRIM5;103581138;NW_007738536.1;PREDICTED: LOW QUALITY PROTEIN: tripartite motif-containing protein 5-like, partial [Galeopterus variegatus];LOC103581138 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_008588697.1;Galeopterus variegatus;TRIM5;TRIM5;103605871;NW_007732241.1;PREDICTED: LOW QUALITY PROTEIN: tripartite motif-containing protein 5-like [Galeopterus variegatus];LOC103605871 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_008591731.1;Galeopterus variegatus;TRIM5;TRIM5;103609157;NW_007735384.1;PREDICTED: tripartite motif-containing protein 5-like, partial [Galeopterus variegatus];LOC103609157 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_008588696.1;Galeopterus variegatus;TRIM6;TRIM6;103605870;NW_007732241.1;PREDICTED: tripartite motif-containing protein 6 [Galeopterus variegatus];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_030687059.1;Globicephala melas;TRIM6;TRIM6;115839495;NW_022134933.1;tripartite motif-containing protein 6 isoform X1 [Globicephala melas];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_030687061.1;Globicephala melas;TRIM6;TRIM6;115839495;NW_022134933.1;tripartite motif-containing protein 6 isoform X3 [Globicephala melas];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_030687060.1;Globicephala melas;TRIM6;TRIM6;115839495;NW_022134933.1;tripartite motif-containing protein 6 isoform X2 [Globicephala melas];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_004050610.3;Gorilla gorilla;TRIM22;TRIM22;101133927;NW_022154674.1;E3 ubiquitin-protein ligase TRIM22 [Gorilla gorilla gorilla];TRIM22 tripartite motif containing 22;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_018892635.1;Gorilla gorilla;TRIM34;TRIM6;101132248;NW_022154674.1;tripartite motif-containing protein 34 isoform X2 [Gorilla gorilla gorilla];LOC101132248 tripartite motif-containing protein 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_018891206.1;Gorilla gorilla;TRIM5;TRIM5;101133340;NW_022154674.1;tripartite motif-containing protein 5 isoform X1 [Gorilla gorilla gorilla];TRIM5 tripartite motif containing 5;REMOVED|Excluded species;;;REMOVED|Excluded species
NP_001266478.1;Gorilla gorilla;TRIM5;TRIM5;101133340;NW_022154674.1;tripartite motif-containing protein 5 [Gorilla gorilla];TRIM5 tripartite motif containing 5;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_018891209.2;Gorilla gorilla;TRIM5;TRIM5;101133340;NW_022154674.1;tripartite motif-containing protein 5 isoform X2 [Gorilla gorilla gorilla];TRIM5 tripartite motif containing 5;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_018892634.1;Gorilla gorilla;TRIM6;TRIM6;101132248;NW_022154674.1;tripartite motif-containing protein 6 isoform X1 [Gorilla gorilla gorilla];LOC101132248 tripartite motif-containing protein 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_004050604.1;Gorilla gorilla;TRIM6;TRIM6;101132248;NW_022154674.1;tripartite motif-containing protein 6 isoform X3 [Gorilla gorilla gorilla];LOC101132248 tripartite motif-containing protein 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_028637939.1;Grammomys surdaster;TRIM30;TRIM30;114633541;NW_021605112.1;tripartite motif-containing protein 30A-like isoform X1 [Grammomys surdaster];LOC114633541 tripartite motif-containing protein 30A-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_028637940.1;Grammomys surdaster;TRIM30;TRIM30;114633541;NW_021605112.1;tripartite motif-containing protein 30A-like isoform X2 [Grammomys surdaster];LOC114633541 tripartite motif-containing protein 30A-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_028637901.1;Grammomys surdaster;TRIM30;TRIM30;114633505;NW_021605112.1;tripartite motif-containing protein 30A-like [Grammomys surdaster];LOC114633505 tripartite motif-containing protein 30A-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_028637912.1;Grammomys surdaster;TRIM30;TRIM30;114633512;NW_021605112.1;tripartite motif-containing protein 30A-like [Grammomys surdaster];LOC114633512 tripartite motif-containing protein 30A-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_028637906.1;Grammomys surdaster;TRIM34;TRIM34;114633507;NW_021605112.1;tripartite motif-containing protein 34A isoform X2 [Grammomys surdaster];LOC114633507 tripartite motif-containing protein 34A;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_028637905.1;Grammomys surdaster;TRIM34;TRIM34;114633507;NW_021605112.1;tripartite motif-containing protein 34A isoform X1 [Grammomys surdaster];LOC114633507 tripartite motif-containing protein 34A;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_028637907.1;Grammomys surdaster;TRIM34;TRIM34;114633507;NW_021605112.1;tripartite motif-containing protein 34A isoform X3 [Grammomys surdaster];LOC114633507 tripartite motif-containing protein 34A;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_028637903.1;Grammomys surdaster;TRIM6;TRIM6;114633506;NW_021605112.1;tripartite motif-containing protein 6 [Grammomys surdaster];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_035931883.1;Halichoerus grypus;TRIM22;TRIM22;118525312;NW_023402369.1;E3 ubiquitin-protein ligase TRIM22 isoform X2 [Halichoerus grypus];TRIM22 tripartite motif containing 22;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_035931884.1;Halichoerus grypus;TRIM22;TRIM22;118525312;NW_023402369.1;E3 ubiquitin-protein ligase TRIM22 isoform X3 [Halichoerus grypus];TRIM22 tripartite motif containing 22;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_035931882.1;Halichoerus grypus;TRIM22;TRIM22;118525312;NW_023402369.1;E3 ubiquitin-protein ligase TRIM22 isoform X1 [Halichoerus grypus];TRIM22 tripartite motif containing 22;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_035931904.1;Halichoerus grypus;TRIM34;TRIM34;118525315;NW_023402369.1;tripartite motif-containing protein 34-like isoform X4 [Halichoerus grypus];LOC118525315 tripartite motif-containing protein 34-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_035931899.1;Halichoerus grypus;TRIM34;TRIM34;118525315;NW_023402369.1;tripartite motif-containing protein 34-like isoform X1 [Halichoerus grypus];LOC118525315 tripartite motif-containing protein 34-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_035931890.1;Halichoerus grypus;TRIM34;TRIM34;118525314;NW_023402369.1;tripartite motif-containing protein 34-like [Halichoerus grypus];LOC118525314 tripartite motif-containing protein 34-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_035931905.1;Halichoerus grypus;TRIM34;TRIM34;118525315;NW_023402369.1;tripartite motif-containing protein 34-like isoform X5 [Halichoerus grypus];LOC118525315 tripartite motif-containing protein 34-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_035931902.1;Halichoerus grypus;TRIM34;TRIM34;118525315;NW_023402369.1;tripartite motif-containing protein 34-like isoform X2 [Halichoerus grypus];LOC118525315 tripartite motif-containing protein 34-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_035931889.1;Halichoerus grypus;TRIM6;TRIM6;118525313;NW_023402369.1;tripartite motif-containing protein 6 isoform X3 [Halichoerus grypus];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_035931886.1;Halichoerus grypus;TRIM6;TRIM6;118525313;NW_023402369.1;tripartite motif-containing protein 6 isoform X1 [Halichoerus grypus];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
